カテゴリ,質問,回答,参照URL
診療/受付,当日受診について教えてください。,当日の予約は取らず、直接来院。午前診と午後診は予約の方優先。夜診は受付順。,https://www.kanai.or.jp/qa/
診療/受付,支払いについて教えてください。,クレジットカード利用可。ただし予納金・予約金は現金のみ。,https://www.kanai.or.jp/qa/
診療/受付,駐車場について教えてください。,8台。利用可能時間 8:30〜20:00。20:00以降は翌朝8:30まで閉鎖。出入りは今里筋から。,https://www.kanai.or.jp/qa/
診療/受付,妊娠判定の受診目安について教えてください。,生理予定日から7〜10日遅れたら受診の目安。,https://www.kanai.or.jp/qa/
診療/受付,初診費用の目安について教えてください。,"約10,000円目安（初診料＋超音波＋必要なら尿検査）。",https://www.kanai.or.jp/qa/
診療/受付,子宮がん検診について教えてください。,予約なしでも受付時間内なら随時。電話予約の運用あり（番号非通知は不可）。,https://www.kanai.or.jp/qa/
診療/受付,検査結果について教えてください。,当日には出ない。検査により1〜2週間程度必要。,https://www.kanai.or.jp/qa/
診療/受付,乳がん検診について教えてください。,現在行っていない。,https://www.kanai.or.jp/qa/
診療/受付,アフターピルについて教えてください。,診療時間内に随時対応可能。,https://www.kanai.or.jp/qa/
診療/受付,本日受診希望ですが予約は取れますか？,当日のご予約はお取りしていません。直接来院してください。,https://www.kanai.or.jp/qa/
会計,クレジットカードは使えますか？,ご利用いただけます。ただし予納金・予約金は現金のみです。,https://www.kanai.or.jp/qa/
アクセス/駐車場,駐車場はありますか？,駐車場（8台）は8:30〜20:00の間利用可能です。20:00を過ぎると翌朝8:30まで閉鎖されます。出入りは今里筋から行ってください。,https://www.kanai.or.jp/qa/
院内施設,入院していなくてもレストランを利用できますか？,入院中の患者さまとご家族さまのご利用となります。ご家族の利用はティータイム・夕食のみ。現在は患者さまの夕食のみレストランで提供しています。,https://www.kanai.or.jp/qa/
産科,里帰り出産で利用したい。分娩の予約手続きは？,"ご家族の方が診療時間内に予約手続きに来院してください。予約金は10,000円です。里帰り時期は32〜34週までが目安（状況により30週頃の帰省が望ましい場合も）。不安があればご相談ください。",https://www.kanai.or.jp/qa/
産科,一度帝王切開で出産しました。次も帝王切開になりますか？,当院では一度帝王切開をされた方は、次回も帝王切開のみの対応となります。,https://www.kanai.or.jp/qa/
産科/初診,妊娠かどうか診てほしい。受診はいつ頃がよい？,生理予定日から7〜10日ほど遅れたら受診してください。,https://www.kanai.or.jp/qa/
産科/初診,初診の受診料はどれくらい？,"初診料・超音波検査料、尿検査を行う場合で約10,000円ほどが目安です。",https://www.kanai.or.jp/qa/
産科/初診,市販の妊娠検査薬で陽性でも、病院で尿検査されますか？,超音波で子宮内に胎嚢が確認できれば尿検査を行わないことがありますが、子宮外妊娠を疑う場合は検査を行います。,https://www.kanai.or.jp/qa/
教室,戌の日の腹帯の巻き方を教えてもらえますか？,教室参加時に助産師へ声をかけてください。教室終了後に指導します。,https://www.kanai.or.jp/qa/
外来,診察・超音波検査に夫や小さい子どもも一緒に入れますか？,一緒に入っていただけます。詳細は院内案内をご確認ください。,https://www.kanai.or.jp/qa/
面会,面会に小さい子どもを連れて行っても大丈夫？,ベビーのごきょうだいに限り対応しています。,https://www.kanai.or.jp/qa/
